LAP_ID,BRAND,LAP_TYPE,INCHES,SCREEN_RESOLUTION,LAP_CPU,CPU_SUBCATEGORY,RAM_SIZE_GB,MEMORY_SIZE,MEMORY_TYPE,LAP_GPU,GPU_SUBCATEGORY,OS,WEIGHT_KG,PRICE
0,Apple,Ultrabook,13.3,"IPS Panel Retina Display 2560x1600","Intel "," Core i5 2.3GHz",8,"128GB ",SSD,"Intel "," Iris Plus Graphics 640",macOS,1.37,71379
1,Apple,Ultrabook,13.3,1440x900,"Intel "," Core i5 1.8GHz",8,"128GB ",STORAGE,"Intel "," HD Graphics 6000",macOS,1.34,47896
2,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","No OS",1.86,30636
3,Apple,Ultrabook,15.4,"IPS Panel Retina Display 2880x1800","Intel "," Core i7 2.7GHz",16,"512GB ",SSD,"AMD "," Radeon Pro 455",macOS,1.83,135195
4,Apple,Ultrabook,13.3,"IPS Panel Retina Display 2560x1600","Intel "," Core i5 3.1GHz",8,"256GB ",SSD,"Intel "," Iris Plus Graphics 650",macOS,1.37,96096
5,Acer,Notebook,15.6,1366x768,"AMD "," A9-Series 9420 3GHz",4,"500GB ",HDD,"AMD "," Radeon R5","Windows 10",2.10,21312
6,Apple,Ultrabook,15.4,"IPS Panel Retina Display 2880x1800","Intel "," Core i7 2.2GHz",16,"256GB ",STORAGE,"Intel "," Iris Pro Graphics","Mac OS X",2.04,114018
7,Apple,Ultrabook,13.3,1440x900,"Intel "," Core i5 1.8GHz",8,"256GB ",STORAGE,"Intel "," HD Graphics 6000",macOS,1.34,61736
8,Asus,Ultrabook,14.0,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",16,"512GB ",SSD,"Nvidia "," GeForce MX150","Windows 10",1.30,79654
9,Acer,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.60,41026
10,HP,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",4,"500GB ",HDD,"Intel "," HD Graphics 620","No OS",1.86,20987
11,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"500GB ",HDD,"Intel "," HD Graphics 520","No OS",1.86,18381
12,Apple,Ultrabook,15.4,"IPS Panel Retina Display 2880x1800","Intel "," Core i7 2.8GHz",16,"256GB ",SSD,"AMD "," Radeon Pro 555",macOS,1.83,130002
13,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"256GB ",SSD,"AMD "," Radeon R5 M430","Windows 10",2.20,26581
14,Apple,Ultrabook,12.0,"IPS Panel Retina Display 2304x1440","Intel "," Core M m3 1.2GHz",8,"256GB ",SSD,"Intel "," HD Graphics 615",macOS,0.92,67261
15,Apple,Ultrabook,13.3,"IPS Panel Retina Display 2560x1600","Intel "," Core i5 2.3GHz",8,"256GB ",SSD,"Intel "," Iris Plus Graphics 640",macOS,1.37,80908
16,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"AMD "," Radeon R5 M430","Windows 10",2.20,39694
17,Apple,Ultrabook,15.4,"IPS Panel Retina Display 2880x1800","Intel "," Core i7 2.9GHz",16,"512GB ",SSD,"AMD "," Radeon Pro 560",macOS,1.83,152274
18,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 7100U 2.4GHz",8,"1TB ",HDD,"Nvidia "," GeForce 940MX","No OS",2.20,26587
19,Dell,Ultrabook,13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"128GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.22,52161
21,Lenovo,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i5 7300HQ 2.5GHz",8,"128GB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",2.50,53227
22,HP,Notebook,15.6,1366x768,"AMD "," E-Series E2-9000e 1.5GHz",4,"500GB ",HDD,"AMD "," Radeon R2","No OS",1.86,13746
23,Dell,"2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.62,43636
24,HP,Ultrabook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.91,35112
25,Dell,Notebook,15.6,1366x768,"Intel "," Core i3 6006U 2GHz",4,"1TB ",HDD,"Intel "," HD Graphics 520","Windows 10",2.30,22305
26,Apple,Ultrabook,13.3,1440x900,"Intel "," Core i5 1.6GHz",8,"128GB ",STORAGE,"Intel "," HD Graphics 6000","Mac OS X",1.35,58555
27,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"AMD "," Radeon 530","Windows 10",2.20,42624
28,Dell,Ultrabook,15.6,"Full HD 1920x1080","Intel "," Core i7 8650U 1.9GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.88,69157
29,HP,Notebook,17.3,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"1TB ",HDD,"Nvidia "," GeForce 930MX","Windows 10",2.50,47739
30,Chuwi,Notebook,15.6,"Full HD 1920x1080","Intel "," Atom x5-Z8300 1.44GHz",4,"64GB ",STORAGE,"Intel "," HD Graphics","Windows 10",1.89,13053
